email,nickname,pid,showup_order,start_time,queryRespTime,updateRespTime,error
batch0089@batch.com.tw,測零零八九,271912,1,20250417 11:10:47,451.32,213.41,
batch0081@batch.com.tw,測零零八一,271904,2,20250417 11:10:47,467.23,248.03,
batch0016@batch.com.tw,測零零一六,271839,3,20250417 11:10:47,451.87,313.05,
batch0062@batch.com.tw,測零零六二,271885,4,20250417 11:10:47,269.45,345.11,
batch0034@batch.com.tw,測零零三四,271857,5,20250417 11:10:47,268.65,353.31,
batch0043@batch.com.tw,測零零四三,271866,6,20250417 11:10:47,203.57,198.76,
batch0088@batch.com.tw,測零零八八,271911,7,20250417 11:10:47,216.77,237.76,
batch0015@batch.com.tw,測零零一五,271838,8,20250417 11:10:47,215.03,256.00,
batch0014@batch.com.tw,測零零一四,271837,9,20250417 11:10:47,191.91,282.44,
batch0090@batch.com.tw,測零零九零,271913,10,20250417 11:10:47,196.88,317.73,
batch0008@batch.com.tw,測零零零八,271831,11,20250417 11:10:50,191.32,137.09,
batch0031@batch.com.tw,測零零三一,271854,12,20250417 11:10:50,195.64,174.44,
batch0067@batch.com.tw,測零零六七,271890,13,20250417 11:10:50,194.02,199.63,
batch0082@batch.com.tw,測零零八二,271905,14,20250417 11:10:50,206.69,281.94,
batch0013@batch.com.tw,測零零一三,271836,15,20250417 11:10:50,201.82,298.81,
batch0063@batch.com.tw,測零零六三,271886,16,20250417 11:10:51,165.79,184.25,
batch0048@batch.com.tw,測零零四八,271871,17,20250417 11:10:51,155.50,251.83,
batch0075@batch.com.tw,測零零七五,271898,18,20250417 11:10:51,148.40,249.82,
batch0045@batch.com.tw,測零零四五,271868,19,20250417 11:10:51,139.46,273.34,
batch0099@batch.com.tw,測零零九九,271922,20,20250417 11:10:51,132.42,307.18,
batch0069@batch.com.tw,測零零六九,271892,21,20250417 11:10:52,166.65,140.90,
batch0061@batch.com.tw,測零零六一,271884,22,20250417 11:10:52,136.07,135.91,
batch0027@batch.com.tw,測零零二七,271850,23,20250417 11:10:52,138.13,181.65,
batch0032@batch.com.tw,測零零三二,271855,24,20250417 11:10:53,145.87,155.44,
batch0044@batch.com.tw,測零零四四,271867,25,20250417 11:10:53,142.17,147.14,
batch0033@batch.com.tw,測零零三三,271856,26,20250417 11:10:53,130.59,152.75,
batch0007@batch.com.tw,測零零零七,271830,27,20250417 11:10:53,146.44,172.92,
batch0066@batch.com.tw,測零零六六,271889,28,20250417 11:10:53,148.62,177.58,
batch0065@batch.com.tw,測零零六五,271888,29,20250417 11:10:53,140.59,239.02,
batch0070@batch.com.tw,測零零七零,271893,30,20250417 11:10:53,135.17,230.48,
batch0059@batch.com.tw,測零零五九,271882,31,20250417 11:10:55,171.65,163.20,
batch0041@batch.com.tw,測零零四一,271864,32,20250417 11:10:55,159.70,160.49,
batch0087@batch.com.tw,測零零八七,271910,33,20250417 11:10:55,128.28,188.23,
batch0002@batch.com.tw,測零零零二,276833,34,20250417 11:10:55,148.14,190.41,
batch0094@batch.com.tw,測零零九四,271917,35,20250417 11:10:55,145.68,192.69,
batch0083@batch.com.tw,測零零八三,271906,36,20250417 11:10:55,136.25,153.65,
batch0026@batch.com.tw,測零零二六,271849,37,20250417 11:10:55,169.75,157.54,
batch0068@batch.com.tw,測零零六八,271891,38,20250417 11:10:55,185.35,176.33,
