email,nickname,pid,showup_order,start_time,queryRespTime,updateRespTime,error
batch2001@batch.com.tw,測二零零一,273824,N/A,20250626 16:32:42,93.86,N/A,\"query API HTTP 500\"
batch2501@batch.com.tw,測二五零一,274324,N/A,20250626 16:32:43,98.21,N/A,\"query API HTTP 500\"
batch4501@batch.com.tw,測四五零一,276324,N/A,20250626 16:32:43,92.62,N/A,\"query API HTTP 500\"
batch1501@batch.com.tw,測一五零一,273324,N/A,20250626 16:32:43,86.84,N/A,\"query API HTTP 500\"
batch3501@batch.com.tw,測三五零一,275324,N/A,20250626 16:32:43,90.77,N/A,\"query API HTTP 500\"
batch4001@batch.com.tw,測四零零一,275824,N/A,20250626 16:32:43,108.72,N/A,\"query API HTTP 500\"
batch3001@batch.com.tw,測三零零一,274824,N/A,20250626 16:32:43,130.97,N/A,\"query API HTTP 500\"
batch0001@batch.com.tw,測零零零一,270715,N/A,20250626 16:32:43,137.92,N/A,\"query API HTTP 500\"
batch1001@batch.com.tw,測一零零一,272824,N/A,20250626 16:32:44,169.99,N/A,\"query API HTTP 500\"
batch0501@batch.com.tw,測零五零一,272324,N/A,20250626 16:32:44,172.70,N/A,\"query API HTTP 500\"
batch2002@batch.com.tw,測二零零二,273825,N/A,20250626 16:32:44,125.53,N/A,\"query API HTTP 500\"
batch2502@batch.com.tw,測二五零二,274325,N/A,20250626 16:32:44,86.05,N/A,\"query API HTTP 500\"
batch4502@batch.com.tw,測四五零二,276325,N/A,20250626 16:32:44,82.96,N/A,\"query API HTTP 500\"
