email,nickname,pid,event_signup_id,event_signup_form_id,verify_code_id,start_time,addRespTime,queryRespTime,error
batch0013@batch.com.tw,測零零一三,271836,79c322fe-6989-417c-9b43-45e236819f87,471eb894-52fc-468a-9f45-983df1f77ad4,3a14591d-94ea-4085-83b8-8aadb21e510f,20250416 17:40:24,4069.772,1767.192,
batch0014@batch.com.tw,測零零一四,271837,8ac9a24f-546e-4324-99ea-d4a10f74abcb,16cf9f49-ce3c-43e4-a788-e7f8ca4c472e,9bc3b958-5664-481b-9f41-07a86a48bce3,20250416 17:40:31,2232.019,1126.082,
batch0015@batch.com.tw,測零零一五,271838,f9bced26-2162-4caf-bbc9-7cb6ffd431a7,7040211c-4f08-47f9-9864-291fa7b3339a,b9ddd46c-7119-47b7-9fc6-fe92866a097b,20250416 17:40:37,4391.743,2428.013,
batch0016@batch.com.tw,測零零一六,271839,321871c5-b660-431d-9290-e3ce407f1df3,601dfc0d-7f9a-4bab-968a-b5554ae25f6a,c57f418c-81b3-4560-b758-28fd10e3436e,20250416 17:40:46,2976.636,1096.196,
batch0017@batch.com.tw,測零零一七,271840,b82a6f95-bcc4-40bc-8eaf-bc195a14f43f,abda3ccc-4417-4e14-a2db-c84ad34f7ca6,ea12494c-e02a-4b23-b8e1-281b69e8e299,20250416 17:40:52,3132.207,592.459,
batch0018@batch.com.tw,測零零一八,271841,f792a619-99b0-41c1-9207-a9c68f8f1a0c,7f657489-38f6-429b-8d96-6bc67f1503f0,2258c3cf-6851-4ed8-b79e-888710d8bdb9,20250416 17:40:57,2916.261,1566.714,
batch0019@batch.com.tw,測零零一九,271842,4bb6f25f-eeaa-4c52-a4ae-d29d28413d84,6c462b5b-826b-4b46-8c33-aa3f307be5b2,801d1095-fccb-4810-9af4-997c1e575f5e,20250416 17:41:04,2536.533,1686.634,
batch0020@batch.com.tw,測零零二零,271843,bb8634f6-6bf0-47b6-b912-7619ea25fb89,ea80885b-8127-4def-bd82-cc8c742a245f,39c731cf-482f-45e3-bbf4-06a75a2e3bd2,20250416 17:41:10,2427.484,176.566,
batch0021@batch.com.tw,測零零二一,271844,ade4a9c0-b4d3-4b8b-a400-b6a914ecd1c2,0ff7fc7f-58b1-4501-a5de-bfed5b3f2b2f,df678435-1d0b-4578-ab31-571845a942ca,20250416 17:40:03,5731.293,2369.031,
batch0022@batch.com.tw,測零零二二,271845,884fcb34-ebbd-4211-89b3-db99488392d9,ef515c93-df61-464c-9f85-f6524febd12c,e4c79dc6-3114-48ee-be84-f65a9f418f3f,20250416 17:40:13,2805.769,494.648,
batch0023@batch.com.tw,測零零二三,271846,69621e6e-81b5-4478-a2e1-ca46c5526165,3b3e9822-d22f-4a3a-89e1-dc68b984b181,5f682610-a85c-4c83-8a41-9c4193b0970c,20250416 17:40:18,3018.5,702.955,
batch0024@batch.com.tw,測零零二四,271847,6e55269c-29a9-400e-ae9a-987b4ecb32d2,e206da06-3dfd-463a-a976-0a25658337ed,9f27a15f-3baf-4c35-8059-df43fe7ffab7,20250416 17:40:24,6457.683,1447.209,
batch0025@batch.com.tw,測零零二五,271848,eceeea23-f24d-4e27-8073-a6546e71f4be,44bddffe-03cf-4228-9eed-5ca2c934f45d,4cbfd109-f937-4b72-a70e-8dc1407a54fb,20250416 17:40:34,3695.035,126.829,
batch0026@batch.com.tw,測零零二六,271849,22e77e93-9a47-4712-b951-eb0566d77439,a5dbb4a1-1ec2-48ea-b43f-9b5eabdb4d39,86a25007-2c7e-40dc-9b27-5b419dcf5a41,20250416 17:40:40,3824.569,281.485,
batch0027@batch.com.tw,測零零二七,271850,b0d4f8aa-e1a8-430b-b7e0-84ff945f98a6,96968566-9246-46bb-abd3-3103ca76d0a0,e9f9ac8a-9abb-40bd-9735-598d5f5b1a38,20250416 17:40:46,2107.753,354.031,
batch0028@batch.com.tw,測零零二八,271851,ff82f402-ceb3-4006-970e-482f3ff93869,81c6930d-8d9f-4e65-acbe-6e00d95f1ff0,25a1e6dc-7341-4599-95ef-c77584650c9a,20250416 17:40:50,3900.769,1863.968,
batch0029@batch.com.tw,測零零二九,271852,98c1d35f-dd02-457a-a8fe-9a928b57a2b2,4c3357df-16df-4e20-97d8-47becdf7a21d,e11eaacb-d1c7-41eb-b0ab-8dedc11a23e4,20250416 17:40:58,1860.501,192.049,
