email,nickname,pid,showup_order,start_time,queryRespTime,updateRespTime,error
batch2001@batch.com.tw,測二零零一,273824,N/A,20250626 16:36:57,323.85,N/A,\"query API failed: USER已經出席此活動\"
batch1869@batch.com.tw,測一八六九,273692,2,20250626 16:36:57,673.74,253.47,
batch4619@batch.com.tw,測四六一九,276442,3,20250626 16:36:57,673.05,271.24,
batch4836@batch.com.tw,測四八三六,276659,4,20250626 16:36:57,701.42,342.32,
batch0467@batch.com.tw,測零四六七,272290,5,20250626 16:36:57,801.01,431.29,
batch1151@batch.com.tw,測一一五一,272974,6,20250626 16:36:57,791.26,484.71,
batch3936@batch.com.tw,測三九三六,275759,8,20250626 16:36:57,797.34,819.29,
batch1017@batch.com.tw,測一零一七,272840,7,20250626 16:36:57,817.85,799.38,
batch0450@batch.com.tw,測零四五零,272273,9,20250626 16:36:57,808.40,1355.56,
batch2668@batch.com.tw,測二六六八,274491,10,20250626 16:36:57,808.33,1534.61,
batch2236@batch.com.tw,測二二三六,274059,11,20250626 16:36:57,808.35,1597.03,
batch1184@batch.com.tw,測一一八四,273007,12,20250626 16:36:57,814.66,1733.59,
batch4269@batch.com.tw,測四二六九,276092,13,20250626 16:36:57,725.84,1731.46,
batch2501@batch.com.tw,測二五零一,274324,14,20250626 16:36:58,570.61,1770.22,
batch2719@batch.com.tw,測二七一九,274542,15,20250626 16:36:57,980.38,1894.13,
batch1067@batch.com.tw,測一零六七,272890,16,20250626 16:36:57,812.00,2160.08,
batch0299@batch.com.tw,測零二九九,272122,17,20250626 16:36:57,965.68,2103.36,
batch2035@batch.com.tw,測二零三五,273858,18,20250626 16:36:57,813.74,2354.74,
batch3248@batch.com.tw,測三二四八,275071,19,20250626 16:36:57,983.04,2203.03,
batch3701@batch.com.tw,測三七零一,275524,21,20250626 16:36:57,983.62,2365.10,
batch2103@batch.com.tw,測二一零三,273926,22,20250626 16:36:57,960.45,2383.70,
batch4919@batch.com.tw,測四九一九,276742,20,20250626 16:36:57,969.68,2404.89,
batch4985@batch.com.tw,測四九八五,276808,23,20250626 16:36:57,978.45,2816.00,
batch3617@batch.com.tw,測三六一七,275440,24,20250626 16:37:00,296.92,773.95,
batch2086@batch.com.tw,測二零八六,273909,25,20250626 16:36:57,975.23,3131.43,
batch3365@batch.com.tw,測三三六五,275188,27,20250626 16:37:00,444.18,885.14,
batch2136@batch.com.tw,測二一三六,273959,26,20250626 16:36:57,964.83,3259.03,
batch4286@batch.com.tw,測四二八六,276109,28,20250626 16:36:57,973.72,3335.76,
batch4902@batch.com.tw,測四九零二,276725,29,20250626 16:36:57,814.84,3647.08,
batch4336@batch.com.tw,測四三三六,276159,30,20250626 16:37:00,448.67,1011.43,
batch1970@batch.com.tw,測一九七零,273793,31,20250626 16:37:01,438.03,907.86,
batch2153@batch.com.tw,測二一五三,273976,32,20250626 16:37:01,606.99,811.80,
batch0383@batch.com.tw,測零三八三,272206,33,20250626 16:36:57,976.40,3792.07,
batch3852@batch.com.tw,測三八五二,275675,34,20250626 16:36:57,964.88,3886.47,
batch2551@batch.com.tw,測二五五一,274374,35,20250626 16:36:57,982.17,3969.19,
batch2819@batch.com.tw,測二八一九,274642,36,20250626 16:36:57,980.42,4079.70,
batch0517@batch.com.tw,測零五一七,272340,37,20250626 16:37:01,1192.28,297.69,
batch0934@batch.com.tw,測零九三四,272757,38,20250626 16:37:01,1188.20,376.30,
batch0666@batch.com.tw,測零六六六,272489,39,20250626 16:37:02,901.87,223.53,
batch1953@batch.com.tw,測一九五三,273776,40,20250626 16:37:01,1140.90,207.06,
batch1234@batch.com.tw,測一二三四,273057,41,20250626 16:37:02,957.40,285.51,
batch3685@batch.com.tw,測三六八五,275508,42,20250626 16:37:02,916.75,342.55,
batch3768@batch.com.tw,測三七六八,275591,43,20250626 16:37:02,913.38,338.95,
batch4501@batch.com.tw,測四五零一,276324,44,20250626 16:37:02,862.37,329.79,
batch0716@batch.com.tw,測零七一六,272539,45,20250626 16:37:02,744.60,295.08,
batch4569@batch.com.tw,測四五六九,276392,46,20250626 16:37:02,842.72,336.88,
batch3919@batch.com.tw,測三九一九,275742,48,20250626 16:37:03,544.17,264.51,
batch0249@batch.com.tw,測零二四九,272072,47,20250626 16:37:02,660.23,355.50,
batch3198@batch.com.tw,測三一九八,275021,49,20250626 16:37:03,576.49,372.83,
batch2601@batch.com.tw,測二六零一,274424,50,20250626 16:37:03,555.78,436.23,
batch0484@batch.com.tw,測零四八四,272307,51,20250626 16:37:03,338.70,282.52,
batch1619@batch.com.tw,測一六一九,273442,52,20250626 16:37:03,209.83,320.94,
batch3083@batch.com.tw,測三零八三,274906,53,20250626 16:37:03,259.12,355.91,
batch0633@batch.com.tw,測零六三三,272456,54,20250626 16:37:04,230.87,302.68,
batch0366@batch.com.tw,測零三六六,272189,55,20250626 16:37:04,230.89,328.73,
batch3785@batch.com.tw,測三七八五,275608,56,20250626 16:37:04,201.76,335.35,
batch4403@batch.com.tw,測四四零三,276226,57,20250626 16:37:04,324.27,303.91,
batch2836@batch.com.tw,測二八三六,274659,58,20250626 16:37:04,334.09,309.11,
batch3802@batch.com.tw,測三八零二,275625,59,20250626 16:37:02,751.68,1332.77,
batch3970@batch.com.tw,測三九七零,275793,60,20250626 16:37:04,301.71,341.18,
batch0149@batch.com.tw,測零一四九,271972,61,20250626 16:37:04,329.41,350.01,
batch1534@batch.com.tw,測一五三四,273357,62,20250626 16:37:02,694.36,1519.40,
batch2886@batch.com.tw,測二八八六,274709,63,20250626 16:37:04,323.82,299.52,
batch0850@batch.com.tw,測零八五零,272673,64,20250626 16:37:04,378.89,324.96,
batch0050@batch.com.tw,測零零五零,271873,65,20250626 16:37:04,348.15,459.68,
batch4819@batch.com.tw,測四八一九,276642,66,20250626 16:37:04,359.90,373.08,
batch3017@batch.com.tw,測三零一七,274840,67,20250626 16:37:04,381.53,343.07,
batch3431@batch.com.tw,測三四三一,275254,68,20250626 16:37:04,339.36,370.83,
batch1168@batch.com.tw,測一一六八,272991,69,20250626 16:37:05,349.45,329.25,
batch4736@batch.com.tw,測四七三六,276559,70,20250626 16:37:05,279.63,224.07,
batch2453@batch.com.tw,測二四五三,274276,71,20250626 16:37:05,358.99,305.02,
batch3718@batch.com.tw,測三七一八,275541,72,20250626 16:37:05,196.38,278.00,
batch4185@batch.com.tw,測四一八五,276008,73,20250626 16:37:05,295.44,361.95,
batch4769@batch.com.tw,測四七六九,276592,74,20250626 16:37:05,320.73,408.99,
batch1501@batch.com.tw,測一五零一,273324,75,20250626 16:37:05,314.34,418.88,
batch0066@batch.com.tw,測零零六六,271889,76,20250626 16:37:05,354.30,400.42,
batch0917@batch.com.tw,測零九一七,272740,77,20250626 16:37:05,357.74,422.72,
batch1201@batch.com.tw,測一二零一,273024,78,20250626 16:37:06,360.98,332.94,
batch1602@batch.com.tw,測一六零二,273425,79,20250626 16:37:06,415.15,279.96,
batch1987@batch.com.tw,測一九八七,273810,80,20250626 16:37:06,373.91,368.38,
batch2618@batch.com.tw,測二六一八,274441,81,20250626 16:37:06,359.30,370.26,
batch1585@batch.com.tw,測一五八五,273408,82,20250626 16:37:06,332.15,298.33,
batch3869@batch.com.tw,測三八六九,275692,83,20250626 16:37:06,277.79,303.57,
batch3634@batch.com.tw,測三六三四,275457,84,20250626 16:37:06,296.55,317.81,
batch2286@batch.com.tw,測二二八六,274109,85,20250626 16:37:06,321.51,317.73,
batch2253@batch.com.tw,測二二五三,274076,86,20250626 16:37:05,366.58,1180.85,
batch2903@batch.com.tw,測二九零三,274726,87,20250626 16:37:06,373.78,487.67,
batch1836@batch.com.tw,測一八三六,273659,88,20250626 16:37:06,426.90,413.10,
batch2969@batch.com.tw,測二九六九,274792,89,20250626 16:37:07,348.89,413.43,
batch4652@batch.com.tw,測四六五二,276475,90,20250626 16:37:07,306.39,371.00,
batch3534@batch.com.tw,測三五三四,275357,91,20250626 16:37:07,361.12,342.30,
batch1886@batch.com.tw,測一八八六,273709,92,20250626 16:37:07,342.36,346.57,
batch1351@batch.com.tw,測一三五一,273174,93,20250626 16:37:07,215.43,361.38,
batch0550@batch.com.tw,測零五五零,272373,94,20250626 16:37:07,261.77,474.70,
batch0316@batch.com.tw,測零三一六,272139,95,20250626 16:37:07,374.89,374.20,
batch0017@batch.com.tw,測零零一七,271840,96,20250626 16:37:07,351.26,479.20,
batch2436@batch.com.tw,測二四三六,274259,97,20250626 16:37:07,367.94,409.45,
batch2736@batch.com.tw,測二七三六,274559,98,20250626 16:37:07,318.62,481.52,
batch4453@batch.com.tw,測四四五三,276276,100,20250626 16:37:07,343.03,438.84,
batch0166@batch.com.tw,測零一六六,271989,99,20250626 16:37:07,329.28,481.67,
batch4219@batch.com.tw,測四二一九,276042,101,20250626 16:37:08,318.12,318.84,
batch2803@batch.com.tw,測二八零三,274626,102,20250626 16:37:06,360.08,1490.40,
batch2186@batch.com.tw,測二一八六,274009,103,20250626 16:37:08,451.25,463.48,
batch3265@batch.com.tw,測三二六五,275088,104,20250626 16:37:08,415.75,482.97,
batch3501@batch.com.tw,測三五零一,275324,105,20250626 16:37:08,411.78,517.79,
batch2568@batch.com.tw,測二五六八,274391,106,20250626 16:37:08,395.07,281.35,
batch4202@batch.com.tw,測四二零二,276025,107,20250626 16:37:08,434.55,337.78,
batch4420@batch.com.tw,測四四二零,276243,108,20250626 16:37:08,441.02,437.81,
batch0099@batch.com.tw,測零零九九,271922,109,20250626 16:37:08,442.04,368.90,
batch3481@batch.com.tw,測三四八一,275304,110,20250626 16:37:08,413.20,405.99,
batch3116@batch.com.tw,測三一一六,274939,111,20250626 16:37:09,355.20,373.79,
batch3584@batch.com.tw,測三五八四,275407,112,20250626 16:37:09,470.75,323.50,
batch0867@batch.com.tw,測零八六七,272690,113,20250626 16:37:09,510.96,276.85,
batch4135@batch.com.tw,測四一三五,275958,114,20250626 16:37:09,520.74,337.03,
batch2786@batch.com.tw,測二七八六,274609,115,20250626 16:37:09,485.41,552.02,
batch1753@batch.com.tw,測一七五三,273576,116,20250626 16:37:09,263.11,528.79,
batch1468@batch.com.tw,測一四六八,273291,117,20250626 16:37:09,319.66,312.81,
batch2336@batch.com.tw,測二三三六,274159,118,20250626 16:37:09,327.48,391.11,
batch2386@batch.com.tw,測二三八六,274209,119,20250626 16:37:09,304.85,301.96,
batch0400@batch.com.tw,測零四零零,272223,120,20250626 16:37:09,514.38,323.02,
batch4353@batch.com.tw,測四三五三,276176,121,20250626 16:37:09,243.52,483.49,
batch4535@batch.com.tw,測四五三五,276358,123,20250626 16:37:09,418.60,673.76,
batch4518@batch.com.tw,測四五一八,276341,124,20250626 16:37:10,318.27,366.24,
batch3315@batch.com.tw,測三三一五,275138,126,20250626 16:37:10,376.61,614.37,
batch4936@batch.com.tw,測四九三六,276759,127,20250626 16:37:10,346.29,585.13,
batch3735@batch.com.tw,測三七三五,275558,128,20250626 16:37:10,309.26,391.73,
batch4152@batch.com.tw,測四一五二,275975,122,20250626 16:37:09,440.89,1241.17,
